Review_ID,Product_ID,Product_Name,Category,Customer_ID,Review_Date,Rating,Review_Title,Review_Text,Verified_Purchase,Helpful_Votes
REV14459,PROD1002,Smart Fitness Watch,Electronics,CUS1704,2026-01-08,1,Waste of money,Delivery was extremely delayed and packaging was damaged badly.,Yes,2.0
REV13024,PROD1025,Organic Green Tea,Grocery,CUS3353,2026-03-06,2,Not recommended,Sound quality is poor and connection keeps dropping constantly.,Yes,1.0
REV15348,PROD1003,Portable Bluetooth Speaker,Electronics,CUS5170,2025-07-18,4,Amazing quality,"Really happy with this purchase, quality feels premium.",Yes,0.0
REV10831,PROD1012,Electric Kettle,Home & Kitchen,CUS5633,2026-05-30,4,Love it,"Superb performance, this is one of the best purchases I made.",No,7.0
REV15916,PROD1004,4K Ultra HD Smart TV,Electronics,CUS2610,2026-04-16,4,Love it,"Excellent build quality, fast delivery, highly recommend to everyone.",No,28.0
REV10132,PROD1010,Stainless Steel Water Bottle,Home & Kitchen,CUS2920,2025-10-06,5,Great purchase,"Superb performance, this is one of the best purchases I made.",Yes,2.0
REV13667,PROD1003,Portable Bluetooth Speaker,Electronics,CUS1031,2026-03-20,2,Broke quickly,"Overpriced for such low quality, very unhappy with purchase.",Yes,6.0
REV12143,PROD1027,Bluetooth Gaming Mouse,Electronics,CUS1055,2026-01-07,4,Excellent product,The sound quality is amazing and battery life is excellent.,Yes,3.0
REV15138,PROD1002,Smart Fitness Watch,Electronics,CUS1009,2025-05-24,5,Fair quality,"It is okay for daily use, though design feels a bit plain.",Yes,5.0
REV12243,PROD1026,Almond Butter Jar,Grocery,CUS2375,2025-06-21,4,Love it,The sound quality is amazing and battery life is excellent.,Yes,7.0
REV16839,PROD1018,Gym Duffel Bag,Sportswear,CUS5684,2025-08-02,5,Great purchase,"Perfect gift, my family loved it, packaging was excellent too.",Yes,11.0
REV12396,PROD1022,Face Moisturizer Cream,Beauty & Personal Care,CUS1000,2025-09-12,3,It's okay,"The product works as expected, delivery took a bit long.",Yes,1.0
